user_id,event_name,user_type,device,timestamp
user_1,app_open,doctor,web,32:42.0
user_1,signup_start,doctor,web,37:42.0
user_2,app_open,doctor,web,32:42.0
user_2,signup_start,doctor,web,33:42.0
user_3,app_open,patient,web,32:42.0
user_3,signup_start,patient,web,36:42.0
user_4,app_open,doctor,web,32:42.0
user_4,signup_start,doctor,web,33:42.0
user_5,app_open,patient,mobile,32:42.0
user_5,signup_start,patient,mobile,33:42.0
user_5,signup_complete,patient,mobile,38:42.0
user_5,book_appointment,patient,mobile,45:42.0
user_6,app_open,patient,web,32:42.0
user_6,signup_start,patient,web,32:42.0
user_6,signup_complete,patient,web,34:42.0
user_6,book_appointment,patient,web,41:42.0
user_6,cancel_appointment,patient,web,49:42.0
user_7,app_open,doctor,web,32:42.0
user_7,signup_start,doctor,web,33:42.0
user_7,signup_complete,doctor,web,34:42.0
user_8,app_open,doctor,mobile,32:42.0
user_9,app_open,patient,web,32:42.0
user_9,signup_start,patient,web,36:42.0
user_9,signup_complete,patient,web,39:42.0
user_9,book_appointment,patient,web,49:42.0
user_10,app_open,doctor,web,32:42.0
user_10,signup_start,doctor,web,35:42.0
user_10,signup_complete,doctor,web,40:42.0
user_10,submit_feedback,doctor,web,45:42.0
user_11,app_open,doctor,mobile,32:42.0
user_11,signup_start,doctor,mobile,36:42.0
user_11,signup_complete,doctor,mobile,40:42.0
user_11,submit_feedback,doctor,mobile,55:42.0
user_12,app_open,doctor,web,32:42.0
user_12,signup_start,doctor,web,34:42.0
user_12,signup_complete,doctor,web,36:42.0
user_12,book_appointment,doctor,web,41:42.0
user_13,app_open,patient,web,32:42.0
user_13,signup_start,patient,web,32:42.0
user_13,signup_complete,patient,web,35:42.0
user_13,book_appointment,patient,web,41:42.0
user_14,app_open,doctor,mobile,32:42.0
user_14,signup_start,doctor,mobile,35:42.0
user_14,signup_complete,doctor,mobile,39:42.0
user_14,book_appointment,doctor,mobile,44:42.0
user_15,app_open,doctor,web,32:42.0
user_15,signup_start,doctor,web,33:42.0
user_15,signup_complete,doctor,web,37:42.0
user_15,book_appointment,doctor,web,46:42.0
user_16,app_open,doctor,web,32:42.0
user_17,app_open,patient,web,32:42.0
user_18,app_open,doctor,mobile,32:42.0
user_18,signup_start,doctor,mobile,33:42.0
user_19,app_open,doctor,mobile,32:42.0
user_19,signup_start,doctor,mobile,35:42.0
user_19,signup_complete,doctor,mobile,39:42.0
user_19,book_appointment,doctor,mobile,48:42.0
user_19,cancel_appointment,doctor,mobile,51:42.0
user_19,submit_feedback,doctor,mobile,47:42.0
user_20,app_open,doctor,web,32:42.0
user_20,signup_start,doctor,web,32:42.0
user_20,signup_complete,doctor,web,37:42.0
user_20,book_appointment,doctor,web,39:42.0
user_21,app_open,doctor,web,32:42.0
user_21,signup_start,doctor,web,34:42.0
user_22,app_open,doctor,mobile,32:42.0
user_23,app_open,patient,mobile,32:42.0
user_23,signup_start,patient,mobile,37:42.0
user_23,signup_complete,patient,mobile,38:42.0
user_23,book_appointment,patient,mobile,39:42.0
user_23,cancel_appointment,patient,mobile,45:42.0
user_24,app_open,doctor,web,32:42.0
user_24,signup_start,doctor,web,35:42.0
user_24,signup_complete,doctor,web,36:42.0
user_24,book_appointment,doctor,web,44:42.0
user_24,submit_feedback,doctor,web,45:42.0
user_25,app_open,patient,mobile,32:42.0
user_25,signup_start,patient,mobile,34:42.0
user_26,app_open,doctor,mobile,32:42.0
user_26,signup_start,doctor,mobile,33:42.0
user_26,signup_complete,doctor,mobile,34:42.0
user_26,book_appointment,doctor,mobile,39:42.0
user_27,app_open,doctor,mobile,32:42.0
user_27,signup_start,doctor,mobile,35:42.0
user_27,signup_complete,doctor,mobile,37:42.0
user_27,book_appointment,doctor,mobile,45:42.0
user_28,app_open,doctor,web,32:42.0
user_28,signup_start,doctor,web,34:42.0
user_28,signup_complete,doctor,web,38:42.0
user_28,book_appointment,doctor,web,47:42.0
user_28,submit_feedback,doctor,web,43:42.0
user_29,app_open,doctor,web,32:42.0
user_29,signup_start,doctor,web,36:42.0
user_29,signup_complete,doctor,web,37:42.0
user_29,book_appointment,doctor,web,38:42.0
user_30,app_open,doctor,web,32:42.0
user_30,signup_start,doctor,web,36:42.0
user_30,signup_complete,doctor,web,39:42.0
user_30,book_appointment,doctor,web,43:42.0
user_30,cancel_appointment,doctor,web,51:42.0
user_30,submit_feedback,doctor,web,47:42.0
user_31,app_open,doctor,mobile,32:42.0
user_31,signup_start,doctor,mobile,35:42.0
user_31,signup_complete,doctor,mobile,39:42.0
user_31,book_appointment,doctor,mobile,49:42.0
user_31,submit_feedback,doctor,mobile,50:42.0
user_32,app_open,patient,web,32:42.0
user_32,signup_start,patient,web,34:42.0
user_32,signup_complete,patient,web,35:42.0
user_33,app_open,doctor,web,32:42.0
user_33,signup_start,doctor,web,32:42.0
user_33,signup_complete,doctor,web,36:42.0
user_33,submit_feedback,doctor,web,47:42.0
user_34,app_open,patient,web,32:42.0
user_34,signup_start,patient,web,35:42.0
user_35,app_open,patient,mobile,32:42.0
user_35,signup_start,patient,mobile,36:42.0
user_36,app_open,patient,mobile,32:42.0
user_36,signup_start,patient,mobile,36:42.0
user_37,app_open,patient,web,32:42.0
user_38,app_open,patient,web,32:42.0
user_38,signup_start,patient,web,36:42.0
user_38,signup_complete,patient,web,39:42.0
user_39,app_open,doctor,web,32:42.0
user_39,signup_start,doctor,web,35:42.0
user_39,signup_complete,doctor,web,38:42.0
user_40,app_open,patient,mobile,32:42.0
user_40,signup_start,patient,mobile,32:42.0
user_41,app_open,doctor,web,32:42.0
user_41,signup_start,doctor,web,35:42.0
user_41,signup_complete,doctor,web,36:42.0
user_41,submit_feedback,doctor,web,45:42.0
user_42,app_open,doctor,web,32:42.0
user_42,signup_start,doctor,web,37:42.0
user_43,app_open,doctor,mobile,32:42.0
user_43,signup_start,doctor,mobile,37:42.0
user_44,app_open,patient,mobile,32:42.0
user_44,signup_start,patient,mobile,34:42.0
user_44,signup_complete,patient,mobile,36:42.0
user_45,app_open,doctor,mobile,32:42.0
user_45,signup_start,doctor,mobile,36:42.0
user_45,signup_complete,doctor,mobile,37:42.0
user_45,book_appointment,doctor,mobile,43:42.0
user_45,submit_feedback,doctor,mobile,42:42.0
user_46,app_open,doctor,web,32:42.0
user_46,signup_start,doctor,web,35:42.0
user_47,app_open,patient,web,32:42.0
user_47,signup_start,patient,web,37:42.0
user_47,signup_complete,patient,web,41:42.0
user_47,book_appointment,patient,web,48:42.0
user_47,submit_feedback,patient,web,46:42.0
user_48,app_open,patient,web,32:42.0
user_48,signup_start,patient,web,35:42.0
user_48,signup_complete,patient,web,37:42.0
user_48,book_appointment,patient,web,42:42.0
user_48,submit_feedback,patient,web,42:42.0
user_49,app_open,patient,mobile,32:42.0
user_49,signup_start,patient,mobile,33:42.0
user_49,signup_complete,patient,mobile,36:42.0
user_49,book_appointment,patient,mobile,37:42.0
user_49,cancel_appointment,patient,mobile,42:42.0
user_49,submit_feedback,patient,mobile,48:42.0
user_50,app_open,doctor,mobile,32:42.0
